time,eye,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,hit_object,hit_x,hit_y,hit_z
0.0000,Left,0.4588,2.7215,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0000,Right,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0000,Combined,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0200,Left,0.4588,2.7215,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0200,Right,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0200,Combined,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1280,Left,0.4588,2.5645,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1280,Right,0.0000,2.5645,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1280,Combined,0.0000,2.5645,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.2943,Left,0.4588,2.0517,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.2943,Right,0.0000,2.0517,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.2943,Combined,0.0000,2.0517,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.3579,Left,0.4588,1.8159,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.3579,Right,0.0000,1.8159,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.3579,Combined,0.0000,1.8159,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.4011,Left,0.4588,1.6807,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.4011,Right,0.0000,1.6807,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.4011,Combined,0.0000,1.6807,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.4390,Left,0.4588,1.6807,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.4390,Right,0.0000,1.6807,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.4390,Combined,0.0000,1.6807,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.4539,Left,0.4588,1.6807,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
