aoi,start_time,end_time,duration
item 3,9.5201,13.0995,3.5794
item 1,16.8565,18.6193,1.7628
item 1,18.7640,21.9450,3.1810
item 1,22.4212,25.3910,2.9698
item 1,26.7154,28.8982,2.1828
item 1,28.8982,32.5060,3.6078
item 1,32.5060,34.0258,1.5198
item 1,34.6927,37.7663,3.0736
item 1,38.6265,41.1784,2.5519
item 1,41.8478,42.5725,0.7247
