time,eye,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,hit_object,hit_x,hit_y,hit_z
0.0000,Left,0.4588,2.7215,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0000,Right,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0000,Combined,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0200,Left,0.4588,2.7215,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0200,Right,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0200,Combined,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0846,Left,0.4588,2.6552,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0846,Right,0.0000,2.6552,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0846,Combined,0.0000,2.6552,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0992,Left,0.4588,2.6381,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0992,Right,0.0000,2.6381,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.0992,Combined,0.0000,2.6381,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1099,Left,0.4588,2.6244,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1099,Right,0.0000,2.6244,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1099,Combined,0.0000,2.6244,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1175,Left,0.4588,2.6142,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1175,Right,0.0000,2.6142,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1175,Combined,0.0000,2.6142,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1249,Left,0.4588,2.6036,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1249,Right,0.0000,2.6036,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1249,Combined,0.0000,2.6036,-3.1490,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
0.1321,Left,0.4588,2.5930,-3.1159,-0.0713,0.1376,0.9879,,0.0000,0.0000,0.0000
