time,eye,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,hit_object,hit_layer,hit_x,hit_y,hit_z
0.0000,Left,0.4588,2.7215,-3.1159,-0.0713,0.1376,0.9879,,,0.0000,0.0000,0.0000
0.0000,Right,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,,0.0000,0.0000,0.0000
0.0000,Combined,0.0000,2.7215,-3.1490,-0.0713,0.1376,0.9879,,,0.0000,0.0000,0.0000
0.0200,Left,0.4600,1.3600,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.0200,Right,0.0000,1.3600,-3.1490,0.0000,0.0000,1.0000,item 1,Gazing,0.0000,1.3600,7.5824
0.0200,Combined,0.0000,1.3600,-3.1490,0.0000,0.0000,1.0000,item 1,Gazing,0.0000,1.3600,7.5824
0.1745,Left,0.4600,1.0653,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1745,Right,0.0000,1.0653,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.1745,Combined,0.0000,1.0653,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.2326,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.2326,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.2326,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.2741,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.2741,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.2741,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.3827,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.3827,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.3827,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.4344,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.4344,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.4344,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
0.4657,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,,0.0000,0.0000,0.0000
