time,eye,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,hit_object,hit_x,hit_y,hit_z
0.3453,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3453,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3616,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3616,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3616,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3727,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3727,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3727,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3863,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3863,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3863,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4000,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4000,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4000,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4143,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4143,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4143,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4283,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4283,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4283,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4420,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4420,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4420,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4561,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4561,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4561,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4698,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4698,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4698,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4838,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4838,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4838,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4978,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4978,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4978,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5120,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5120,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5120,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5255,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5255,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5255,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5393,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5393,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5393,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5539,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5539,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5539,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5673,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5673,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5673,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5811,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5811,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5811,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5955,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5955,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5955,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6099,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6099,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6099,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6238,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6238,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6238,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6374,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6374,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6374,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6512,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6512,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6512,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6650,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6650,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6650,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6789,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6789,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6789,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6929,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6929,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.6929,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7068,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7068,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7068,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7205,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7205,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7205,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7345,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7345,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7345,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7482,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7482,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.7482,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
