aoi,start_time,end_time,duration
item 3,1.6733,3.0044,1.3311
item 1,6.2795,7.0342,0.7547
item 3,9.4670,19.7553,10.2883
item 3,19.8946,25.7693,5.8748
item 1,32.7705,39.8005,7.0299
item 1,40.1481,42.2223,2.0742
item 1,46.4962,48.1799,1.6837
item 1,48.2636,59.7337,11.4702
item 1,59.7337,62.8651,3.1314
item 1,62.9633,64.8558,1.8924
item 1,65.5520,67.3468,1.7949
