aoi,start_time,end_time,duration
item 3,19.7928,22.3129,2.5201
item 3,40.2448,42.5831,2.3383
item 3,43.7253,44.6019,0.8766
item 3,44.6438,45.4650,0.8212
item 3,47.9290,49.3355,1.4065
item 3,50.1570,57.4378,7.2808
item 3,57.4660,63.3826,5.9166
item 1,65.7631,66.7799,1.0168
item 1,77.6525,78.4357,0.7832
item 1,78.4909,79.4803,0.9893
item 1,79.8141,82.1773,2.3633
item 1,83.5425,84.4750,0.9325
