aoi,start_time,end_time,duration
item 3,1.0089,2.5853,1.5764
item 2,4.3673,6.8055,2.4382
item 2,7.5298,21.3118,13.7820
item 2,23.9299,41.5974,17.6674
item 2,42.3772,46.0939,3.7167
item 2,46.7347,55.0740,8.3393
item 2,56.7447,57.5937,0.8490
target 3,92.4263,93.1776,0.7513
item 3,100.2639,101.0579,0.7940
item 3,103.6333,105.4295,1.7962
item 1,112.2811,120.7287,8.4476
item 1,120.8821,122.3166,1.4345
item 1,122.4975,131.0312,8.5337
item 1,131.0312,134.1095,3.0782
item 1,134.3600,135.1249,0.7649
item 1,136.4194,141.2642,4.8448
item 1,141.9615,158.5555,16.5940
item 1,159.8508,161.6885,1.8377
