aoi,start_time,end_time,duration
item 2-2,17.7150,19.8772,2.1622
item 2-2,19.9380,20.8076,0.8696
item 3-3,22.1726,22.9249,0.7523
item 3-3,23.6350,25.0137,1.3787
item 3-3,25.1943,28.6462,3.4519
item 3-3,29.2583,30.8607,1.6024
item 3-3,36.4297,39.7288,3.2991
item 3-3,40.5362,41.3301,0.7939
item 3-3,41.5663,42.6246,1.0583
item 3-3,44.8381,46.2722,1.4341
item 3-3,49.2375,49.9476,0.7101
item 3-3,50.5606,54.8619,4.3013
item 3-3,71.3874,73.1696,1.7822
