time,eye,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,hit_object,hit_x,hit_y,hit_z
0.2968,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.2968,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3106,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3106,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3106,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3270,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3270,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3270,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3383,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3383,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3383,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3515,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3515,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3515,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3662,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3662,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3662,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3808,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3808,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3808,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3928,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3928,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.3928,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4083,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4083,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4083,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4223,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4223,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4223,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4346,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4346,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4346,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4498,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4498,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4498,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4642,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4642,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4642,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4763,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4763,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4763,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4919,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4919,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.4919,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5061,Left,0.4600,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5061,Right,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
0.5061,Combined,0.0000,1.0000,-3.1490,0.0000,0.0000,1.0000,,0.0000,0.0000,0.0000
